# dataset: address-rules
# source: google-address-data-service
# authority: Google, the Address Data Service the libaddressinput project names
# origin: ssl-address/data/<territory>, the live service record for every territory it lists
# pin: 2026-08-10
# published: 2026-08-10
# licence: CC-BY-4.0
# licence-url: https://creativecommons.org/licenses/by/4.0/
# licence-note: the libaddressinput repository states verbatim that its data is licensed under the CC-BY 4.0
# licence-verified: 2026-08-10
# cadence: ad hoc
# compiled-in: true
# columns: territory,format,required,postcode
RS	%N%n%O%n%A%n%Z %C		\d{5,6}
RU	%N%n%O%n%A%n%C%n%S%n%Z	ACSZ	\d{6}
RW			
SA	%N%n%O%n%A%n%C %Z		\d{5}
SB			
SC	%N%n%O%n%A%n%C%n%S		
SD	%N%n%O%n%A%n%C%n%Z		\d{5}
SE	%O%n%N%n%A%nSE-%Z %C	ACZ	\d{3} ?\d{2}
SG	%N%n%O%n%A%nSINGAPORE %Z	AZ	\d{6}
SH	%N%n%O%n%A%n%C%n%Z	ACZ	(?:ASCN|STHL) 1ZZ
SI	%N%n%O%n%A%nSI-%Z %C		\d{4}
SJ	%N%n%O%n%A%n%Z %C	ACZ	\d{4}
SK	%N%n%O%n%A%n%Z %C	ACZ	\d{3} ?\d{2}
SL			
SM	%N%n%O%n%A%n%Z %C	AZ	4789\d
SN	%N%n%O%n%A%n%Z %C		\d{5}
SO	%N%n%O%n%A%n%C, %S %Z	ACS	[A-Z]{2} ?\d{5}
SR	%N%n%O%n%A%n%C%n%S		
SS			
ST			
SV	%N%n%O%n%A%n%Z-%C%n%S	ACS	[1-3][1-7][0-2]\d
SX			
SY			
SZ	%N%n%O%n%A%n%C%n%Z		[HLMS]\d{3}
TA	%N%n%O%n%A%n%C%n%Z		TDCU 1ZZ
TC	%N%n%O%n%A%n%C%n%Z	ACZ	TKCA 1ZZ
TD			
TF			
TG			
TH	%N%n%O%n%A%n%D %C%n%S %Z		\d{5}
TJ	%N%n%O%n%A%n%Z %C		\d{6}
TK			
TL			
TM	%N%n%O%n%A%n%Z %C		\d{6}
TN	%N%n%O%n%A%n%Z %C		\d{4}
TO			
TR	%N%n%O%n%A%n%Z %C/%S	ACZ	\d{5}
TT	%N%n%O%n%A%n%C%n%Z		\d{6}
TV	%N%n%O%n%A%n%C%n%S		
TW	%Z%n%S%C%n%A%n%O%n%N	ACSZ	\d{3}(?:\d{2,3})?
TZ	%N%n%O%n%A%n%Z %C		\d{4,5}
UA	%N%n%O%n%A%n%C%n%S%n%Z	ACZ	\d{5}
UG			
