# dataset: phone-formats
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml numberFormat rows, nationalPrefixFormattingRule substituted
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,order,leadingDigits,groups,national,international
DE	49	16	1(?:6[023]|7)	3 2 7-8	0$1 $2 $3	$1 $2 $3
DE	49	17	15[279]	4 2 7	0$1 $2 $3	$1 $2 $3
DE	49	18	15	3 2 8	0$1 $2 $3	$1 $2 $3
DE	49	2	2(?:0[1-389]|1[124]|2[18]|3[14])|3(?:[35-9][15]|4[015])|906|(?:2[4-9]|4[2-9]|[579][1-9]|[68][1-8])1	3 3-12	0$1 $2	$1 $2
DE	49	3	[24-6]|3(?:[3569][02-46-9]|4[2-4679]|7[2-467]|8[2-46-8])|70[2-8]|8(?:0[2-9]|[1-8])|90[7-9]|[79][1-9]	4 2-11	0$1 $2	$1 $2
DE	49	4	138	3 4	0$1 $2	$1 $2
DE	49	5	3	5 2-10	0$1 $2	$1 $2
DE	49	6	181	3 5-11	0$1 $2	$1 $2
DE	49	7	1(?:3|80)|9	3 1 4-10	0$1 $2 $3	$1 $2 $3
DE	49	8	1[67]	3 7-8	0$1 $2	$1 $2
DE	49	9	8	3 7-12	0$1 $2	$1 $2
DJ	253	0	[27]	2 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
DK	45	0	[2-9]	2 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
DZ	213	0	[1-4]	2 2 2 2	0$1 $2 $3 $4	$1 $2 $3 $4
DZ	213	1	9	2 3 2 2	0$1 $2 $3 $4	$1 $2 $3 $4
DZ	213	2	[5-8]	3 2 2 2	0$1 $2 $3 $4	$1 $2 $3 $4
EC	593	0	[2-7]	3 4	$1-$2	NA
EC	593	1	[2-7]	1 3 4	(0$1) $2-$3	$1-$2-$3
EC	593	2	9	2 3 4	0$1 $2 $3	$1 $2 $3
EC	593	3	1	4 3 3-4	$1 $2 $3	$1 $2 $3
EE	372	0	[369]|4[3-8]|5(?:[0-2]|5[0-478]|6[45])|7[1-9]|88	3 4	$1 $2	$1 $2
EE	372	1	[45]|8(?:00|[1-49])	4 3-4	$1 $2	$1 $2
EE	372	2	7	2 2 4	$1 $2 $3	$1 $2 $3
EE	372	3	8	4 3 3	$1 $2 $3	$1 $2 $3
EG	20	0	[23]	1 7-8	0$1 $2	$1 $2
EG	20	1	1[35]|[4-6]|8[2468]|9[235-7]	2 6-7	0$1 $2	$1 $2
EG	20	2	[89]	3 3 4	0$1 $2 $3	$1 $2 $3
EG	20	3	1	2 8	0$1 $2	$1 $2
ER	291	0	[178]	1 3 3	0$1 $2 $3	$1 $2 $3
ES	34	0	905	4	$1	NA
ES	34	1	[79]9	6	$1	NA
ES	34	2	[89]00	3 3 3	$1 $2 $3	$1 $2 $3
ES	34	3	[4-9]	3 2 2 2	$1 $2 $3 $4	$1 $2 $3 $4
ET	251	0	[1-57-9]	2 3 4	0$1 $2 $3	$1 $2 $3
FI	358	0	75[12]	5	0$1	NA
FI	358	1	20[2-59]	5	0$1	$1
FI	358	2	11	6	$1	NA
FI	358	3	(?:[1-3]0|[68])0|70[07-9]	3 3-7	0$1 $2	$1 $2
