# dataset: phone-mobile
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,lengths,pattern
MK	389	8	7(?:3555|(?:474|9[019]7)7)\d{3}|7(?:[0-25-8]\d\d|3(?:[1-478]\d|6[01])|4(?:2\d|60|7[01578])|9(?:[2-4]\d|5[01]|7[015]))\d{4}
ML	223	8	2(?:0(?:01|79)|17\d)\d{4}|(?:5[0-3]|[679]\d|8[2-59])\d{6}
MM	95	[7-10]	(?:17[01]|9(?:2(?:[0-4]|[56]\d\d)|(?:3(?:[0-36]|4\d)|(?:6\d|8[89]|9[4-8])\d|7(?:3|40|[5-9]\d))\d|4(?:(?:[0245]\d|[1379])\d|88)|5[0-6])\d)\d{4}|9[69]1\d{6}|9(?:[68]\d|9[089])\d{5}
MN	976	8	(?:87[01]|92[0139])\d{5}|(?:5[05]|6[069]|7[28]|8[0135689]|9[013-9])\d{6}
MO	853	8	6800[0-79]\d{3}|6(?:[235]\d\d|6(?:0[0-5]|[1-9]\d)|8(?:0[1-9]|[14-8]\d|2[5-9]|[39][0-4]))\d{4}
MP	1	10	670(?:2(?:3[3-7]|56|8[4-8])|32[1-38]|4(?:33|8[348])|5(?:32|55|88)|6(?:64|70|82)|78[3589]|8[3-9]8|989)\d{4}
MQ	596	9	(?:69[67]\d\d|7091[0-3])\d{4}
MR	222	8	[2-4][0-46-9]\d{6}
MS	1	10	664(?:3(?:49|9[1-6])|49[2-6])\d{4}
MT	356	8	(?:7(?:210|[79]\d\d)|9(?:[29]\d\d|69[67]|8(?:1[1-3]|89|97)))\d{4}
MU	230	8	5(?:4(?:2[1-389]|7[1-9])|87[15-8])\d{4}|(?:5(?:2[5-9]|4[3-689]|[57]\d|8[0-689]|9[0-8])|7(?:0[0-7]|3[013]))\d{5}
